,Splate,Species,QG number,Fly-affected?,New York Notes,Cplate,CollectionDate,Latitude,Longitude,Altitude,SubstrateClass,SubstrateNotes,OnGround,ForestType,SubstrateTemp,AmbientTemp,Humidity,SampleNotes,PlateNotes,SplateDate,SplatePicker,SplateFounders,SplateMatingType,Sokehs Ridge Experiment,Don't touch - automated for pivot table
1271,C-0635G,Csp384B,4640,0,,C-0635,2023-12-09 12:04:14 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR3C5,yes,Disturbed forest,24.1,24.1,NA,100-500,"Def some caeno looking things, but discrete clusters that look a little different — possibly multiple species",2023-12-09 23:26:25 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
991,C-0457E,C. tropicalis,4641,0,,C-0457,2023-12-13 01:17:30 UTC,6.91961398,158.263061,605.460059,Rotting_nut/pod/seed/fruit,Kotop pile,yes,Cloudforest,23.1,25.8,99.9,,"10s of worms. No obvious males. Lots of larvae. 
 Caenorhabditis candidates are most likely hermaphrodite. 12/14
 
 
 All plates but C have embryos laid. 12/15 could be male/female but no male seem. Could be young adult too. Check again later. 12/15
 
 Plate C now has embryos. Hermaphrodite 12/16",2023-12-14 12:33:10 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
117,C-0050D,Csp384B,4642,0,,C-0050,2023-12-09 11:57:32 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR3D3,yes,Disturbed forest,24.1,24.1,NA,100-500,,2023-12-10 05:23:05 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
829,C-0384C,Csp384B,4643,0,,C-0384,2023-12-07 03:49:54 UTC,6.90656607,158.181718,540.715057,Rotting_nut/pod/seed/fruit,Pwohr,yes,Rainforest,22.7,25.7,99.9,,"One S plate started 12/9, but no notes recorded. Picked four more 12/10, mated adults. Plate is only Caeno, m and f/h, maybe 20-30.",2023-12-10 12:42:21 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
1248,C-0619B,Csp619B,4644,0,,C-0619,2023-12-06 02:10:17 UTC,6.86321371,158.176534,253.323303,Rotting_flower,Breadfruit,yes,Agroforest,23.8,25.9,99.9,,"Tons of worms. Caenorhabdiditis included. B and D did not reproduce overnight, adding males",2023-12-07 10:28:54 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
604,C-0224A,Csp384B,4645,0,,C-0224,2023-12-11 22:07:36 UTC,6.91924183,158.270888,189.363434,Rotting_nut/pod/seed/fruit,Star fruit,yes,Agroforest,25,30.4,80.7,,"Few worms, some dead annelids, 12/13. 5 worms are C adults- 2 m and 3 f/h.
 12/14, S-plate C is not fertilized, so added a male. 12/15, no apparent mating.",2023-12-13 10:13:44 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
545,C-0185E,C. tropicalis,4646,0,,C-0185,2023-12-08 01:31:30 UTC,6.85666129,158.22365,664.856422,Rotting_nut/pod/seed/fruit,Pwuhr,yes,Cloudforest,21.8,22.8,99.9,,"One too long worm and exactly five adult herm Caeno, all singled. 12/10.
 12/14, all great.",2023-12-10 02:27:14 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
626,C-0232D,C. briggsae,4647,0,,C-0232,2023-12-07 03:40:10 UTC,6.9072931,158.181544,544.769308,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotop fruit pile,yes,Rainforest,22.3,NA,NA,,"About a hundred worms of non Caeno species, plus exactly four young adult Caeno germs, 12/9.
 Worms A is unc and sterile, discarded.",2023-12-09 04:38:06 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
466,C-0162F,C. briggsae,4648,0,,C-0162,2023-12-13 01:07:03 UTC,6.92086289,158.263153,595.218084,Rotting_nut/pod/seed/fruit,Pwohr,yes,Cloudforest,22.6,27.1,94.5,,"100s of worms. Adult male Caenorhabditis present 12/14 
 
 12/15 all worms look dead, something in the bacteria killed them 🥲
 12/16, plate A is laying embryos, and plate F has a few, but the others are not. Consolidated all others onto one plate, along with the male from A. So four f/h and 2 m.",2023-12-15 11:10:56 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
692,C-0290D,Csp384B,4649,0,,C-0290,2023-12-07 03:36:55 UTC,6.90730271,158.181658,541.724424,Rotting_nut/pod/seed/fruit,Pwohr,yes,Rainforest,22.3,NA,NA,,"12/9, hundreds of adults, all Caeno, male and female/h. Singled five adults. All adults look plugged.",2023-12-09 03:18:44 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
644,C-0246E,Csp619B,4650,0,,C-0246,2023-12-05 05:37:44 UTC,6.96796033,158.19005,247.022418,Rotting_nut/pod/seed/fruit,Shell of that same fruit scooped out goo and some outer part,yes,Disturbed forest,25.8,NA,NA,,* No record in Fulcrum,,,,,,assigned
564,C-0198C,Csp384B,4651,0,,C-0198,2023-12-07 03:36:25 UTC,6.90725441,158.181555,546.584132,Rotting_nut/pod/seed/fruit,Pwuhr,yes,Rainforest,22.4,25.9,88.5,,"Plate is all Caeno, m and f/h. Five S plates picked 12/9, but no notes recorded. A B and E are now unmated females 12/10 pm, males added. C has progeny. D is mia, so new D plate made with adult f/h.",2023-12-10 12:53:19 UTC,mrockman@nyu.edu,Other,,,assigned
1252,C-0628A,Csp384B,4652,0,,C-0628,2023-12-06 02:26:58 UTC,6.86357933,158.177504,294.75531,Rotting_nut/pod/seed/fruit,,yes,Agroforest,23.6,24.9,99.9,,"Couple dozen worms, mostly too long but took a couple that might be caeno",2023-12-07 10:56:45 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,,assigned
856,C-0390E,C. tropicalis,4653,0,,C-0390,2023-12-05 05:08:19 UTC,6.96389311,158.190711,251.942116,Rotting_flower,Banana flower peel,yes,Disturbed forest,27.1,26.9,94,,"1000, several species including 2 giant nematodes, including several Caeno looking worms; at 10 pm, lots of Caeno L4 males and fe/herms and a few adults",2023-12-06 10:58:36 UTC,mrockman@nyu.edu,1 L4 herm/female,,,assigned
587,C-0208D,Csp384B,4654,0,,C-0208,2023-12-13 01:59:47 UTC,6.91739023,158.261484,553.923728,Rotting_stem,Dohng leaf,yes,Rainforest,23.5,NA,NA,,"10s of worms. No obvious Caenorhabditis 12/14. On 12/15, found two mated adult f/h and two males, Caeno.
 12/16 found another plugged female, and a couple more younger females/male. F is a borderline larva — looks too old to be the offspring of one we’ve already collected (maybe?) but too young to confirm caeno
 12/17 couldn’t find female on E, didn’t seem like she was laying. Moved E male to F. Couldn’t find anyone on plate C. Packed them all in case something changes.",2023-12-16 00:11:07 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,,assigned
748,C-0328D,Csp384B,4655,0,,C-0328,2023-12-05 05:56:13 UTC,6.96431082,158.191181,243.957985,Rotting_flower,"Local survey fake sample so many figs
 
 Ficus tinctoria",yes,Rainforest,NA,NA,NA,,"Thousands. Lots of males and plugs, mostly long but some look very c elegansy. B didn’t make offspring, so adding males a couple days later.",2023-12-06 11:04:19 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female + 1 L4 male,,,assigned
309,C-0126A,Csp384B,4656,0,,C-0126,2023-12-09 11:21:25 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2D2,yes,Disturbed forest,24.2,24.2,NA,100,,2023-12-10 09:33:31 UTC,sophia.tintori@nyu.edu,1 L4 herm/female + 1 L4 male,,Yes,assigned
41,C-0014F,Csp384B,4657,0,,C-0014,2023-12-07 22:20:06 UTC,6.85091722,158.214573,601.8887,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotopw,yes,Rainforest,20.9,23.8,99.9,,"20-30 worms, small larvae except two adult Caeno males, 12/9.
 
 Picked 2 L4s, 3 adult fem/herms - 12/10; plate B looks non Caeno, so one L4 picked as plate F. 
 B discarded, males added to A and F.",2023-12-10 05:43:52 UTC,mrockman@nyu.edu,1 adult herm/female + 1 L4 or adult male,male/female,,assigned
1075,C-0518C,Csp384B,4658,1,,C-0518,2023-12-06 02:24:02 UTC,6.86359086,158.177535,289.393616,Rotting_flower,Pwehr,yes,Agroforest,23.2,24.7,99.9,,"Many hundreds, some too long but some could be right. Took three just in case the plate crowds quickly",2023-12-07 10:30:10 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,,assigned
134,C-0056B,C. tropicalis,4659,0,,C-0056,2023-12-08 01:34:22 UTC,6.85667256,158.222532,666.886364,Rotting_nut/pod/seed/fruit,Pwohr,yes,Cloudforest,21.6,NA,NA,,"Lots of non-Caenorhabditis. Found some caenorhabditis larvae 12/10. Plate is mostly non C but there are a dozen or two C L4 or YA herms, no males. Plate A looks non C, B-F added later.
 Plate A discarded.",2023-12-09 22:08:50 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
1207,C-0592E,Csp384B,4660,0,,C-0592,2023-12-05 04:35:57 UTC,6.96580962,158.191673,185.121067,Rotting_nut/pod/seed/fruit,Slimy,yes,Disturbed forest,26.4,28.2,84.3,,"shape looks caeno, maybe a little gray. Looking good! But still L4. Pick tomorrow. 12/7: yep, Caeno adults now, male and female/herm, all plugged",2023-12-06 23:07:54 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
805,C-0377E,C. briggsae,4661,0,,C-0377,2023-12-07 05:42:13 UTC,6.90312603,158.170628,153.996315,Vegetal_litter/mix,Fig,yes,Rainforest,25.8,28.6,93.9,,"100 Caeno, herms, no males, larvae and adults, 12/10.
 Later, plate A appears to be female (the others are herms). I searched for a while and found one male, which I added to plate A, though it seems likely to be a male from the herm species.
 12/12, indeed, the male looks fine, the female still unmated, no embryos. Moved the female to a new plate.
 Set up test rods between the male and a herm from S plate E. check for male progeny.",2023-12-10 07:58:17 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
1200,C-0590C,Csp384B,4662,0,,C-0590,2023-12-06 01:23:11 UTC,6.86537752,158.172939,162.170069,Rotting_stem,"Taro, saws; stem",yes,Agroforest,24.1,25.9,99.9,,"200 worms, mostly Caeno m and h/f, and a second thing that looks like Caeno but too big? Picked some of each",2023-12-07 11:16:37 UTC,mrockman@nyu.edu,1 adult herm/female + 1 L4 or adult male,,,assigned
1130,C-0558B,Csp384B,4663,0,,C-0558,2023-12-05 04:38:32 UTC,6.9657901,158.19162,207.708351,Rotting_flower,Hibiscus,yes,Disturbed forest,25.6,28.2,84.3,,"10-20 worms, some adult Caeno-like including males",2023-12-06 10:40:33 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
755,C-0340C,Csp384B,4664,0,,C-0340,2023-12-05 05:23:19 UTC,6.96396201,158.190753,250.730812,Rotting_flower,Breadfruit,yes,Disturbed forest,24.6,28.3,86.6,Male flower?,"Lots of larvae, kind of seem too long to be caeno but who knows. Next day looks like some caenos are brewing.",2023-12-08 12:05:28 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,,assigned
1167,C-0571E,Csp384B,4665,0,,C-0571,2023-12-07 02:21:15 UTC,6.90410022,158.176491,330.527809,Rotting_nut/pod/seed/fruit,,yes,Rainforest,25.9,NA,NA,,"12/9, hundreds of l4 and adult, all Caeno, plus hundreds more dead Caeno larvae? Very 
  distinctive. All females look plugged; singled five.",2023-12-09 04:08:09 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
860,C-0392D,Csp384B,4666,0,,C-0392,2023-12-06 02:28:02 UTC,6.86362096,158.177516,290.185989,Rotting_nut/pod/seed/fruit,Pwurh 4,yes,Agroforest,23.1,24.9,99.9,,"Soupy plate, slow to dry, lots of Caeno m and f; picked adults the next day, all plugged",2023-12-08 11:32:46 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
696,C-0293B,Csp384B,4667,0,,C-0293,2023-12-06 04:04:47 UTC,6.87073636,158.18211,474.757481,Rotting_nut/pod/seed/fruit,Pwehn,yes,Rainforest,21.4,NA,NA,,"Mostly not Caeno, but some, 12/9. Adults, m and f/h. Singled five plugged adults.",2023-12-09 04:48:52 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
1115,C-0544D,Csp384B,4668,1,,C-0544,2023-12-06 04:05:17 UTC,6.8702503,158.18197,460.998195,Rotting_nut/pod/seed/fruit,Fagraea berteroana - Pwhur at 1581ft,yes,Rainforest,21.1,23.8,99.9,,"~100 worms, most or all Caeno, male and h/f, mostly young, a few sickly adults",2023-12-07 11:03:47 UTC,mrockman@nyu.edu,1 adult herm/female + 1 L4 or adult male,,,assigned
1331,C-0864B,C. tropicalis,4669,0,,C-0864,2023-12-13 02:30:32 UTC,6.96835341,158.189931,247.610695,Rotting_nut/pod/seed/fruit,False durian,yes,Disturbed forest,27.6,NA,NA,,"“There are 5 trillions worm in it. Plate starved immediately. Worms are picked from a subset of the plate. “ SCT 12/14
 
 
 12/15 added males.
 
 12/16 plate D no cross; 12/17, still no cross, skiddy.",2023-12-14 11:33:57 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
103,C-0044C,Csp384B,4670,0,,C-0044,2023-12-08 02:25:14 UTC,6.85727218,158.218919,650.268776,Rotting_flower,Pwohr,yes,Cloudforest,22.4,NA,NA,,"Several hundred Caeno, m and f/h, l4 and adult, 12/9. Plate A was a bunch of L4s, all now female adults; A discarded.
 12/14, B-f thriving.",2023-12-10 03:20:35 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
759,C-0344B,C. tropicalis,4671,0,,C-0344,2023-12-05 05:13:20 UTC,6.96391083,158.190788,245.275544,Rotting_flower,Banana inflorescence stalk,no,Disturbed forest,24.2,27.5,92.3,,"Hundreds, but I think too skinny; 12/7, multiple species including Caeno herm young adults, no males",2023-12-06 22:59:36 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
774,C-0356A,C. tropicalis,4672,1,,C-0356,2023-12-05 04:52:59 UTC,6.96426359,158.191547,226.884499,Fungus,Two feet up on side of log. With millipede,yes,Disturbed forest,24.2,28.4,87.8,,"Dozens of worms, most are too long but some larvae hard to tell; 12/7, a few worms look like maybe small young adult Caeno. Plate is getting chewed up by a fly larva.",2023-12-06 23:14:29 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
1084,C-0526A,Csp384B,4673,0,,C-0526,2023-12-07 04:29:27 UTC,6.9055471,158.179703,407.004445,Rotting_flower,Pwohr flower,yes,Rainforest,24.2,NA,NA,,"Five S plates founded 12/9 but no notes recorded. All have progeny 12/10. C plate is a mix of species including a small number of Caeno, m and f/h. The S plates are iso-f/h but I don’t know whether founded by L4 or adult f/h.",2023-12-10 13:01:31 UTC,mrockman@nyu.edu,Other,,,assigned
1301,C-0850A,Csp384B,4674,0,,C-0850,2023-12-09 11:39:15 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR3E1,yes,Disturbed forest,24.1,24.1,NA,10-50,"About 6 large worms obviously caeno, a bunch of smaller ones, maybe some oscheius, maybe some other caeno sp? One smallish male. Picked the 6 big ones and 4 smallers",2023-12-09 22:16:31 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
108,C-0045B,Csp384B,4675,0,,C-0045,2023-12-08 04:18:00 UTC,6.84880696,158.214655,524.828147,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotopw pile,yes,Rainforest,22.7,23,99.9,,"10s of worms, several spp, no obvious C, 12/9.
 
 1 adult hermaphrodite? No apparent sperm plug but the worm already laid embryos.
 
 1 adult fem/herm, clear sperm plug. 
 
 Isolated one adult male for future test. 1:53PM 12/10",2023-12-10 02:53:31 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
818,C-0381C,Csp384B,4676,0,,C-0381,2023-12-06 02:21:18 UTC,6.86348223,158.177558,261.967299,Rotting_flower,Pwehr flower,yes,Agroforest,23.5,25.3,99.9,,"Several hundred, mostly too long. Took a few that looked like caeno, tho they’re young still. Didn’t lay embryos overnight, added males the next day and took two more plugged females",2023-12-07 11:02:27 UTC,sophia.tintori@nyu.edu,1 L4 herm/female,,,assigned
582,C-0203D,Csp384B,4677,0,,C-0203,2023-12-08 04:35:16 UTC,6.84712946,158.214532,501.998577,Rotting_nut/pod/seed/fruit,Two Pwohr,yes,Rainforest,22.3,NA,NA,,"Caenorhabditis: many males and female/hermaphrodites. Picked L4s to 5 plates. 12/09. 12/10, added males to A and B; need to check back on others.
 12/11, added males to the others, one each.
 12/14, S-plates all good.",2023-12-09 12:01:14 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,,,assigned
685,C-0277B,Csp384B,4678,1,,C-0277,2023-12-05 05:35:13 UTC,6.96779778,158.190068,243.353127,Rotting_nut/pod/seed/fruit,,yes,Disturbed forest,26,28.3,96.6,,"Hundreds, mostly long, a couple that look like caeno maybe",2023-12-06 10:40:17 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,,assigned
632,C-0240D,Csp384B,4679,0,,C-0240,2023-12-08 04:48:14 UTC,6.84620347,158.214746,473.369649,Rotting_nut/pod/seed/fruit,Nihn fig from Holdens reforestation site,yes,Disturbed forest,23.1,22.8,NA,Found flatworm (invasive) present in ziploc bag before tranferring sample to funnel,"Interesting. Dauer present. At least a few species, one of them is caenorhabditis. M and f/h. Picked mated adults 12/9 and 12/10.
 12/11, D appears to be unmated female, no progeny, piano phenotype. Male added.",2023-12-09 12:41:21 UTC,tuc.nguyen@nyu.edu,1 adult herm/female + 1 L4 or adult male,male/female,,assigned
1110,C-0541B,Csp578D,4680,1,this was mislabeled 571B; it's a fly-evasion chunked S plate labeled 12.07 TUC. Pretty clear that this is 541B.,C-0541,2023-12-06 02:09:21 UTC,6.8631664,158.177123,236.305165,Rotting_nut/pod/seed/fruit,"Nihn fig 
 
 Ficus tinctoria",yes,Disturbed forest,25.4,NA,NA,More males than females.,,2023-12-07 11:41:11 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,,,#REF!
1041,C-0504A,C. briggsae,4681,0,,C-0504,2023-12-13 00:08:20 UTC,6.95779469,158.208569,34.2618561,Rotting_nut/pod/seed/fruit,Starfruit,yes,Urban,28.6,NA,NA,,"100+ worms. No obvious Caenorhabditis 12/14. On 12/15, these are Caeno young adult herms, picked five.",2023-12-15 08:05:18 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
193,C-0089J,C. briggsae,4682,0,,C-0089,2023-12-09 10:53:46 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR1D5,yes,Disturbed forest,23.1,23.1,NA,10-50,honestly i think these might all be oscheius but i'm collecting some just in case. Next day — one was maybe caeno but it died. Picking a couple more,2023-12-11 12:33:07 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
386,C-0136J,C. briggsae,4683,0,,C-0136,2023-12-09 11:59:33 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR3C4,yes,Disturbed forest,24.1,24.1,NA,10-50,,2023-12-10 06:14:38 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
961,C-0437A,Csp384B,4684,0,,C-0437,2023-12-13 02:29:57 UTC,6.91699579,158.262527,515.268658,Rotting_nut/pod/seed/fruit,Pwuhr,yes,Rainforest,24,26.7,99.9,,"Several worms. Two look like oscheius but need to check again tmr 12/14.
 12/15, there are Caeno m and f/h, adults only. Singled all five f/hs, all plugged.",2023-12-15 10:55:01 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
742,C-0326D,Csp619B,4685,0,,C-0326,2023-12-11 21:46:12 UTC,6.91956097,158.270983,188.872879,Rotting_nut/pod/seed/fruit,Breadfruit,yes,Agroforest,28.7,29.2,89.4,,"A few hundred worms, but fighting killer bacteria. Fly larvae. Moved a bunch of the healthier looking worms to a cleanup plate; most of the remaining worms are too skiddy to save. All S plates derive from cleanup plate. 
 12/15, all but plate C doing well-ish, though skiddy. C is unmated, discarded.",2023-12-13 08:59:55 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
1236,C-0612B,Csp619B,4686,0,,C-0612,2023-12-12 23:02:52 UTC,6.95714149,158.209392,35.558548,Rotting_nut/pod/seed/fruit,Mystery pod #2,yes,Urban,28.2,NA,NA,,"10+ worms. All look Caenorhabditis 12/14
 
 Added 4 remaining males to 4 OG plates. Looked like female/male species. 
 Allocated 2 plugged females onto 2 additional plates. 12/15 - no embryos in these two new plates. Probably different species. Still wrapped those 12/16
 
 No more worms on C plate either. The plugged females are definitely from different species.",2023-12-14 12:02:50 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
927,C-0420A,Csp384B,4687,0,,C-0420,2023-12-08 02:30:45 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR1R4,yes,Rainforest,23.1,23.1,NA,10-50,Lost B,2023-12-11 09:52:50 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
10,C-0002E,Csp384B,4688,1,,C-0002,2023-12-08 04:20:18 UTC,6.84881874,158.214687,515.932752,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotopw pile,yes,Rainforest,22.7,22.9,99.93,,"More than one species. Males observed, many young larvaes 12/09. 12/10: good looking C males, just a few, but no f/h yet.
 12/11, now there are several mated females/herms. Singled five, of maybe seven total.",2023-12-11 08:33:04 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
289,C-0122A,Csp384B,4689,0,,C-0122,2023-12-09 11:06:32 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2A3,yes,Disturbed forest,24.2,24.2,NA,100-500,Beetle larvae. Lots of worms several species. Found some C adults and L4s on 12/12.,2023-12-12 05:57:06 UTC,mrockman@nyu.edu,1 adult herm/female + 1 L4 or adult male,,Yes,assigned
411,C-0140A,Csp384B,4690,0,,C-0140,2023-12-09 11:58:06 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR3E3,yes,Disturbed forest,24.1,24.1,NA,7,"3 plugged adult fem/herms. 3 adult males. Several young adults, L4s fem/herms. Paired 2 oldest looking young-adults with two adult males. Tuc 12/10
 12/13 D and E lost",2023-12-10 06:01:27 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,Yes,assigned
